train/loss,epoch,step,timestamp
1.9361146211624145,0,10,1786949947.3266232
1.290716116130352,0,20,1786949947.75945
1.0567078610261282,0,30,1786949948.1588454
0.899688421189785,0,40,1786949948.5734196
0.8005042004585267,0,50,1786949948.9697685
0.73294920672973,0,60,1786949949.3901079
0.6843555803809848,0,70,1786949949.807843
0.6454675266519189,0,80,1786949950.2054276
0.6209313675761223,0,90,1786949950.6044393
0.600075367540121,0,100,1786949951.0234525
0.5841213753277605,0,110,1786949951.450615
0.5703460888316234,0,120,1786949951.870198
0.5562566588704403,0,130,1786949952.3206613
0.5452351775552545,0,140,1786949952.7408357
0.5353504597147306,0,150,1786949953.1572032
0.529768846463412,0,160,1786949953.5643494
0.5206505437984186,0,170,1786949953.9809217
0.5127645473513338,0,180,1786949954.3990602
0.5063969139205782,0,190,1786949954.8144693
0.5016944652050733,0,200,1786949955.2258778
0.49430237391165327,0,210,1786949955.6263545
0.4879967478865927,0,220,1786949956.0316057
0.4833285811802615,0,230,1786949956.4438832
0.4783949851989746,0,240,1786949956.8483212
0.47397980278730395,0,250,1786949957.2560077
0.4687310938078624,0,260,1786949957.662481
0.46442160854736964,0,270,1786949958.0622954
0.4626488742551633,0,280,1786949958.4641757
0.45889120826433444,0,290,1786949958.8766797
0.4574589542051156,0,300,1786949959.300754
0.45453710176291007,0,310,1786949959.6997893
0.4506767491344362,0,320,1786949960.1030564
0.44688496630300173,0,330,1786949960.5055006
0.444773942188305,0,340,1786949960.909981
0.44150785088539124,0,350,1786949961.3232245
0.43955942826966443,0,360,1786949961.749729
0.4380986643401352,0,370,1786949962.1923835
0.43515827522466055,0,380,1786949962.608961
0.43230434480385904,0,390,1786949963.0199766
0.43140542801469567,0,400,1786949963.4271183
0.4304323442825457,0,410,1786949963.8261595
0.42898765529195465,0,420,1786949964.2268555
0.42692597154961076,0,430,1786949964.6256618
0.42515636184676125,0,440,1786949965.025265
0.42401495493120617,0,450,1786949965.4354672
0.4219985593272292,0,460,1786949965.8495362
0.4203082592880472,0,470,1786949966.2673688
0.41890157979602616,0,480,1786949966.6705134
0.4166911163196272,0,490,1786949967.0676625
0.41429168471693995,0,500,1786949967.459572
0.413730513260645,0,510,1786949967.847182
0.4127763842447446,0,520,1786949968.2418125
0.41306218448674903,0,530,1786949968.6428723
0.412715052013044,0,540,1786949969.041213
0.4124762806025418,0,550,1786949969.4409776
0.4111445922936712,0,560,1786949969.8529284
0.40996545746661067,0,570,1786949970.2632604
0.40861296872126646,0,580,1786949970.6702394
0.40856783291545967,0,590,1786949971.0742974
0.4088437917580207,0,600,1786949971.4897728
0.4081124338703077,0,610,1786949971.8997686
0.4070013481282419,0,620,1786949972.3244972
0.40630108711738433,0,630,1786949972.7257547
0.40618861534167083,0,640,1786949973.1283994
0.40573882893874097,0,650,1786949973.532951
0.40513070408593527,0,660,1786949973.9274912
0.4053934526754849,0,670,1786949974.3300514
0.4040596856571296,0,680,1786949974.7348282
0.40386909289636475,0,690,1786949975.1287932
0.40300075169120514,0,700,1786949975.5302753
0.40222511121504745,0,710,1786949975.9211576
0.4024117137201958,0,720,1786949976.330818
0.40132741901564273,0,730,1786949976.7305937
0.3999238479983162,0,740,1786949977.1251507
0.39914630822340647,0,750,1786949977.5272105
0.39851335000834964,0,760,1786949977.9282043
0.3977635606155767,0,770,1786949978.3308942
